Model_name,loss,val_loss,Epoch
RNN,0.6954,0.6954,1
RNN,0.6918,0.643,2
RNN,0.69,0.5984,3
RNN,0.6853,0.7564,4
RNN,0.6787,0.5879,5
GRU,0.6909,0.6182,1
GRU,0.684,0.5926,2
GRU,0.6675,0.5958,3
GRU,0.6453,0.6338,4
GRU,0.6225,0.7,5
LSTM,0.6907,0.6341,1
LSTM,0.685,0.5865,2
LSTM,nan,nan,3
LSTM,nan,nan,4
LSTM,nan,nan,5
BiLSTM,0.6906,0.681,1
BiLSTM,0.6823,0.6886,2
BiLSTM,0.651,0.7037,3
BiLSTM,0.6138,0.7435,4
BiLSTM,0.5742,0.7911,5
BGRU,0.6909,0.6802,1
BGRU,0.6796,0.6836,2
BGRU,0.6455,0.7107,3
BGRU,0.6043,0.7463,4
BGRU,0.5629,0.7955,5
